name,name_zh,latitude,longitude,source
Sungailiat,烈港,-1.858013,106.122080,wikidata
Tabanan,塔巴南,-8.513284,115.125603,wikidata
Tahuna,塔胡納,3.614786,125.491089,naer
Taman Sari,塔曼沙里,-2.120603,106.110592,wikidata
Taman Sari,塔曼沙里,-6.144800,106.818306,wikidata
Tambora,丹波拉,-6.150215,106.803984,wikidata
Tambora,丹波拉,-8.127459,117.928083,wikidata
Tampaksiring,譚帕克西凌鎮,-8.486623,115.301111,wikidata
Tanah Abang,丹拿望,-3.301745,104.121186,wikidata
Tanah Abang,丹拿望,-6.197053,106.815968,wikidata
Tanjung Priok,丹戎不碌,-6.121830,106.877782,wikidata
Tanjungpandan,丹戎潘丹,-2.747891,107.632277,naer
Tarutung,打鹿洞,2.019772,98.968856,wikidata
Tayan Hilir,戴燕,-0.012955,110.127583,wikidata
Tebas,直木港,1.173729,109.151888,wikidata
Tebet,德柏特,-6.233819,106.855523,wikidata
Tebing Tinggi,直名丁宜,-1.078455,103.134002,osm
Tebing Tinggi,直名丁宜,-2.434378,115.621898,osm
Tebing Tinggi,直名丁宜,-3.598917,103.073473,osm
Tebing Tinggi,直名丁宜,1.001880,102.716604,osm
Tebing Tinggi,直名丁宜,3.336247,99.113983,osm
Tegallalang,德格拉朗,-8.424865,115.289805,wikidata
Teluk Keramat,直落吉拉馬特區,1.456713,109.243529,wikidata
Teluknaga,龍灣 (丹格朗縣),-6.054413,106.644040,wikidata
Temanggung,淡滿光,-7.319985,110.178979,osm
Teminabuan,特米纳布安,-1.439420,132.023079,wikidata
Tigaraksa,迪加拉萨,-6.264842,106.468592,wikidata
Tobelo,托貝洛,1.730366,128.011770,naer
Toboali,都保里,-3.064616,106.563286,naer
Tuban,厨闽,-6.895021,112.053035,wikidata
Tulungagung,图隆阿贡,-8.046161,111.891952,wikidata
Ubud,乌布,-8.517914,115.272837,wikidata
Ujung Pandang,烏戎潘當,-5.135210,119.405801,wikidata
Wamena,瓦梅纳,-4.091792,138.931457,osm
Waris,瓦里斯,-3.281055,140.939175,naer
Wonokromo,沃诺克洛莫,-7.290757,112.735098,wikidata
