longitude,latitude,country,admin_1,admin_2,admin_3,admin_4
120.45,23.55,臺灣,嘉義縣,民雄鄉,"",""
120.66667,23.85,臺灣,南投縣,名間鄉,"",""
120.90638,24.48972,臺灣,苗栗縣,獅潭鄉,"",""
119.93641,26.14974,臺灣,連江縣,南竿鄉,"",""
120.83333,22.05,臺灣,屏東縣,滿州鄉,"",""
120.25,23.78333,臺灣,雲林縣,麥寮鄉,"",""
121.15,22.95,臺灣,臺東縣,鹿野鄉,"",""
120.33333,23.78333,臺灣,雲林縣,崙背鄉,"",""
121.2,24.86667,臺灣,桃園市,凌雲里,"",""
120.54639,24.19444,臺灣,臺中市,龍井區,龍泉里,""
120.38333,22.96667,臺灣,臺南市,崎頂里,"",""
120.76667,23.73333,臺灣,南投縣,鹿谷鄉,"",""
120.45,24.08333,臺灣,彰化縣,鹿港鎮,"",""
121.28333,25.06667,臺灣,桃園市,內厝里,"",""
120.26667,22.85,臺灣,高雄市,路竹區,鴨寮里,""
121.76667,24.68333,臺灣,宜蘭縣,羅東鎮,"",""
120.35,23.28333,臺灣,臺南市,大農里,"",""
120.65,23.01667,臺灣,高雄市,六龜區,六龜里,""
120.26667,23.51667,臺灣,嘉義縣,六腳鄉,"",""
120.38333,22.51667,臺灣,高雄市,林園區,廣應里,""
120.51607,22.43547,臺灣,屏東縣,林邊鄉,"",""
120.61667,23.75,臺灣,雲林縣,林內鄉,"",""
120.5292,22.65188,臺灣,屏東縣,麟洛鄉,Tian Hua Liao,麟蹄
121.35,25.1,臺灣,新北市,林口區,頂福里,""
120.5,22.8,臺灣,屏東縣,里港鄉,"",""
121.53833,22.04639,臺灣,臺東縣,蘭嶼鄉,"",""
120.68333,22.5,臺灣,屏東縣,來義鄉,"",""
120.85,24.01667,臺灣,南投縣,國姓鄉,"",""
121.91667,25.03333,臺灣,新北市,"",貢寮區,""
120.83333,24.5,臺灣,苗栗縣,公館鄉,"",""
121.35,25.03333,臺灣,桃園市,大崗里,"",""
120.28333,22.95,臺灣,臺南市,六甲里,"",""
120.33333,23.2,臺灣,臺南市,二鎮里,"",""
120.33171,22.95824,臺灣,臺南市,五甲,"",""
121.18333,24.78333,臺灣,新竹縣,關西鎮,"",""
120.16667,23.58333,臺灣,雲林縣,口湖鄉,"",""
120.58333,22.8,臺灣,屏東縣,高樹鄉,"",""
120.48333,22.51667,臺灣,屏東縣,崁頂鄉,"",""
121.4,23.51667,臺灣,花蓮縣,瑞穗鄉,"",""
121.81667,25.1,臺灣,新北市,柑仔瀨,瑞芳區,""
120.35,22.7,臺灣,高雄市,仁武區,新莊,""
120.23333,22.95,臺灣,臺南市,成功里,虎山,""
121.13111,24.02528,臺灣,南投縣,仁愛鄉,"",""
121.63361,24.5425,臺灣,宜蘭縣,大同鄉,"",""
120.21667,23.36667,臺灣,嘉義縣,義竹鄉,"",""
120.43333,23.71667,臺灣,雲林縣,虎尾鎮,"",""
120.21667,22.9,臺灣,高雄市,湖內區,海埔里,""
121.05,24.88333,臺灣,新竹縣,湖口鄉,"",""
121.6,24,臺灣,花蓮縣,花蓮市,"",""
121.39333,23.78166,臺灣,花蓮縣,萬榮鄉,"",""
120.18333,23.25,臺灣,臺南市,秀昌里,"",""
119.51134,23.60867,臺灣,澎湖縣,西嶼鄉,"",""
120.5,24.03333,臺灣,彰化縣,秀水鄉,"",""
121.1,24.76667,臺灣,新竹縣,芎林鄉,"",""
121.48333,24.1,臺灣,花蓮縣,秀林鄉,"",""
120.45,22.51667,臺灣,屏東縣,新園鄉,"",""
120.28333,23.3,臺灣,臺南市,太北里,"",""
121.51667,24.93333,臺灣,新北市,新店區,"",""
120.26667,23.08333,臺灣,臺南市,大洲里,"",""
120.81667,24.18333,臺灣,臺中市,新社區,協成里,""
120.58333,22.48333,臺灣,屏東縣,新埤鄉,"",""
120.35,23.55,臺灣,嘉義縣,新港鄉,"",""
121.01667,23.66667,臺灣,南投縣,信義鄉,"",""
120.33333,23.03333,臺灣,臺南市,東榮里,"",""
120.98333,24.9,臺灣,新竹縣,新豐鄉,"",""
120.96722,24.81472,臺灣,新竹市,"","",""
121.16111,24.67416,臺灣,新竹縣,尖石鄉,"",""
121.45,25.03333,臺灣,新北市,新莊區,文衡里,""
120.45,23.78333,臺灣,雲林縣,西螺鎮,"",""
120.4,23.6,臺灣,嘉義縣,溪口鄉,"",""
120.2,23.13333,臺灣,臺南市,西港里,"",""
120.76667,24.55,臺灣,苗栗縣,西湖鄉,"",""
120.48333,23.95,臺灣,彰化縣,溪湖鎮,"",""
120.46917,24.1375,臺灣,彰化縣,線西鄉,"",""
120.51667,23.83333,臺灣,彰化縣,溪州鄉,"",""
121.65,25.08333,臺灣,新北市,汐止區,拱北里,""
120.26667,23.23333,臺灣,臺南市,營前里,寮前,""
120.62576,24.17432,臺灣,臺中市,西屯區,協和里,""
120.93333,24.78333,臺灣,新竹市,"","",""
120.76667,24.61667,臺灣,苗栗縣,後龍鎮,"",""
120.7,24.31667,臺灣,臺中市,后里區,月眉里,""
121.16667,24.28333,臺灣,臺中市,和平區,梨山里,""
120.4975,24.11222,臺灣,彰化縣,和美鎮,"",""
121.13333,24.71667,臺灣,新竹縣,橫山鄉,"",""
121.36667,24.71667,臺灣,桃園市,高義里,"",""
120.43333,24.03333,臺灣,彰化縣,福興鄉,"",""
118.38861,24.45333,臺灣,金門縣,金湖鎮,"",""
120.61667,24.01667,臺灣,彰化縣,芬園鄉,"",""
120.73333,24.25,臺灣,臺中市,豐原區,北陽里,""
121.48333,23.58333,臺灣,花蓮縣,豐濱鄉,"",""
120.6,23.43333,臺灣,嘉義縣,番路鄉,"",""
120.35,23.96667,臺灣,彰化縣,芳苑鄉,"",""
120.65821,22.25629,臺灣,屏東縣,枋山鄉,"",""
120.6,22.4,臺灣,屏東縣,枋寮鄉,"",""
120.61667,23.81667,臺灣,彰化縣,二水鄉,"",""
120.4,23.78333,臺灣,雲林縣,二崙鄉,"",""
120.4,23.91667,臺灣,彰化縣,二林鎮,"",""
121.08333,24.73333,臺灣,新竹縣,竹東鎮,"",""
120.5341,22.59404,臺灣,屏東縣,竹田鄉,"",""
120.4,23.86667,臺灣,彰化縣,竹塘鄉,"",""
120.7,23.71667,臺灣,南投縣,竹山鎮,"",""
121,24.83333,臺灣,新竹縣,竹北市,"",""
121.53333,25.06667,臺灣,臺北市,中山區,行政里,""
121.2,24.98333,臺灣,桃園市,芝芭里,"",""
120.78333,23.91667,臺灣,南投縣,中寮鄉,"",""
121.48333,25,臺灣,新北市,中和區,信和里,""
120.86667,24.7,臺灣,苗栗縣,竹南鎮,"",""
120.58333,23.51667,臺灣,嘉義縣,竹崎鄉,"",""
120.85,24.33333,臺灣,苗栗縣,卓蘭鎮,"",""
120.48333,22.73333,臺灣,屏東縣,九如鄉,"",""
120.46667,22.86667,臺灣,高雄市,旗山區,三協里,""
121.6,25.21667,臺灣,新北市,金山區,"",""
118.37611,24.44583,臺灣,金門縣,金湖鎮,"",""
120.58,24.27361,臺灣,臺中市,清水區,下湳里,""
121.55,25,臺灣,臺北市,文山區,興安里,""
119.43169,23.21137,臺灣,澎湖縣,七美鄉,"",""
120.11667,23.13333,臺灣,臺南市,龍山里,"",""
121.26667,24.61667,臺灣,新竹縣,尖石鄉,"",""
120.53333,22.43333,臺灣,屏東縣,佳冬鄉,"",""
120.3,22.75,臺灣,高雄市,橋頭區,新莊里,""
121.73333,24.81667,臺灣,宜蘭縣,礁溪鄉,"",""
121.56667,23.95,臺灣,花蓮縣,吉安鄉,"",""
120.11667,23.2,臺灣,臺南市,將軍里,"",""
120.18333,23.16667,臺灣,臺南市,六安里,"",""
120.44527,23.47722,臺灣,嘉義市,西區,西榮里,""
120.58166,23.46333,臺灣,嘉義縣,竹崎鄉,"",""
121.51634,25.04097,臺灣,臺北市,中正區,黎明里,""
120.75,22.08333,臺灣,屏東縣,車城鄉,"",""
120.81028,23.51528,臺灣,嘉義縣,阿里山鄉,"",""
120.55,22.53333,臺灣,屏東縣,潮州鎮,"",""
